ObservationId,MediaId,Vote,Content,ClassId,Family,Genus,Species,Location,Date
31458,15238,3.0,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,Saint-Clément-de-Rivière,2010-4-17
24005,88538,5.0,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,,1800-1-1
13567,92120,3.0,Flower,151,Apiaceae,Daucus,Daucus carota L.,Prades-le-Lez,2008-7-22
21810,82404,3.0,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,Indre,2012-4-24
4593,15260,4.0,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,Prades-le-Lez,2007-3-3
8572,31914,3.0,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,Sauviat-sur-Vige,2006-6-12
26323,88336,3.0,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,Malons-et-Elze,2011-6-25
4581,53560,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Castelnau-de-Montmiral,2011-5-16
7889,14694,5.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Montpellier,2013-6-20
5158,110822,4.0,Flower,786,Asteraceae,Eupatorium,Eupatorium cannabinum L.,Onet-le-Château,2014-9-5
6785,77924,3.0,Flower,32201,Orchidaceae,Ophrys,Ophrys virescens Philippe,Roquebrune-sur-Argens,2012-4-11
33819,97974,3.0,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,Puivert,2012-6-7
28639,14004,3.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Montpellier,2013-6-20
23116,61521,3.0,Flower,493,Asteraceae,Bellis,Bellis perennis L.,Palavas-les-Flots,2011-3-20
22338,942,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Prémillieu,2009-4-1
8897,83008,2.0,Flower,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,Champ-sur-Drac,2006-4-26
16627,106138,3.0,Flower,5148,Salicaceae,Salix,Salix caprea L.,Chuyer,2012-4-8
24141,26681,3.5,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Saintonge,2012-6-7
36102,71034,3.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Sainte-Geneviève-des-Bois,2013-8-8
33206,101804,3.0,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Poulx,2013-6-5
36952,87900,3.0,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Les Mayons,2009-5-7
2447,36045,3.0,Flower,6425,Orchidaceae,Cypripedium,Cypripedium calceolus L.,Moloy,2008-1-21
5957,68996,4.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Auvers-Saint-Georges,2013-6-16
27978,112085,3.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,Plombières-les-Bains,2013-4-30
13694,82380,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Usson,2014-6-4
27191,27069,4.0,Flower,691,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Mouthe,2009-8-11
41179,90827,4.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Roumengoux,2013-6-22
39875,42022,3.0,Flower,4369,Primulaceae,Primula,Primula veris L.,Lanslebourg-Mont-Cenis,2013-6-3
13339,60869,4.0,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,Meyssiès,2013-4-1
26053,75865,3.0,Flower,4436,Ranunculaceae,Clematis,Clematis vitalba L.,Lavardac,2013-7-24
12585,49276,4.0,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,Bonnieux,2012-5-2
23658,74723,4.0,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,La Salette-Fallavaux,2011-7-8
11509,40530,3.0,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,Payros-Cazautets,2013-5-16
21235,101420,3.0,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,Prades-le-Lez,2010-5-5
10753,18036,3.0,Flower,4477,Ranunculaceae,Anemone,Anemone alpina L.,Porté-Puymorens,2010-7-15
9185,2068,3.0,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,Plévenon,2006-6-14
931,24686,4.0,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,Leucate,2013-3-16
23179,4111,4.0,Flower,4353,Primulaceae,Primula,Primula vulgaris Huds.,Meyssiès,2013-4-1
16588,16587,3.0,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,Mézières-en-Brenne,2012-6-19
40566,5599,3.0,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,,1800-1-1
5105,29045,4.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Fleury,2013-9-13
6559,104982,3.0,Flower,691,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Loctudy,2009-8-5
32731,67103,3.0,Flower,4369,Primulaceae,Primula,Primula veris L.,Fillols,2013-5-18
11488,52779,5.0,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,Col du Paradis,2004-5-22
3279,2493,4.0,Flower,6509,Orchidaceae,Ophrys,Ophrys passionis Sennen,Marseille,2014-3-31
27306,103726,3.0,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,,1800-1-1
8838,97808,4.0,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,Laruns,2005-6-30
35239,107084,4.0,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,Villeneuve-lès-Maguelone,2013-5-1
25823,73357,3.0,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,St Leu Les brules de St Leu,2012-11-26
32569,25097,3.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,Margès,2013-6-23
18270,1268,3.0,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,Montpellier,2013-6-11
36150,26461,3.0,Flower,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,Mazaugues,2012-5-12
15856,78387,4.0,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,Saint-Martin-de-Vers,2006-5-25
5202,21790,3.0,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,,2014-4-27
4818,23682,4.0,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Montferrier-sur-Lez,2013-5-21
9179,105245,3.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Marseille,2011-5-14
4750,14374,4.0,Flower,493,Asteraceae,Bellis,Bellis perennis L.,,2013-4-12
29573,48161,5.0,Flower,6521,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Septèmes-les-Vallons,2013-4-9
38079,83238,4.0,Flower,691,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Gruissan,2012-6-2
39393,66808,3.0,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,Passy,2012-7-6
25233,30306,3.0,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,La Tour-sur-Orb,2013-6-15
21835,102346,3.0,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,Besançon,2011-8-26
34785,93923,4.0,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Marseille,2012-6-8
6961,19282,3.0,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,St Leu Les brules de St Leu,2012-11-26
1657,69742,3.0,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Les Assions,2011-5-1
27266,9035,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,Camon,2013-5-20
22038,94063,4.0,Flower,786,Asteraceae,Eupatorium,Eupatorium cannabinum L.,Marmande,2013-7-22
38079,59373,4.0,Flower,691,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Gruissan,2012-6-2
19239,62781,3.0,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Montpellier,2013-5-16
38674,97010,3.0,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,Montpellier,2014-4-8
38165,28638,3.0,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,Nantes,2011-6-12
33322,45286,4.0,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,Saint-Laurent-de-Trèves,2013-6-6
30703,8541,3.0,Flower,6509,Orchidaceae,Ophrys,Ophrys passionis Sennen,Les Pennes-Mirabeau,2012-4-18
19107,40498,3.0,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,"Site  (Mont St Clair, les Pierres Blanches) (34)",2003-3-12
31638,109279,3.0,Flower,6425,Orchidaceae,Cypripedium,Cypripedium calceolus L.,Bellaffaire,2010-6-3
5480,48462,4.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Quirbajou,2013-5-9
25955,83875,4.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,,1800-1-1
40584,111198,4.0,Flower,786,Asteraceae,Eupatorium,Eupatorium cannabinum L.,Villequier,2014-10-16
41109,74091,3.0,Flower,32201,Orchidaceae,Ophrys,Ophrys virescens Philippe,,1800-1-1
38294,14312,4.0,Flower,1047,Asteraceae,Leucanthemum,Leucanthemum vulgare Lam.,,1800-1-1
19983,95331,3.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Montpellier,2013-6-20
22123,32516,3.0,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,Marseille,2011-9-17
32770,109599,2.0,Flower,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,Lacanau,2013-5-11
17234,60747,3.0,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,Berrias-et-Casteljau,2010-5-24
40431,20431,4.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Riom,2007-5-27
21938,40729,3.5,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,Barèges,2011-7-27
38681,54631,3.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Montpellier,2013-6-22
12243,23562,3.0,Flower,6521,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Clapiers,2011-4-20
23647,84213,2.5,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,Le Pont-de-Montvert,2012-5-26
4967,9876,2.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,Montpellier,2013-5-24
6337,94029,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Tonnerre,2009-5-20
38284,112714,3.0,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,La Malène,2013-6-22
109,22207,4.0,Flower,4436,Ranunculaceae,Clematis,Clematis vitalba L.,,1800-1-1
41776,16225,2.5,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,,2013-6-3
38488,18890,3.0,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Optevoz,2014-10-3
20413,12800,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,,1800-1-1
464,94702,4.0,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,Vabre,1800-1-1
31591,28466,3.67,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,Brains-sur-Gée,2012-7-16
26053,8585,4.0,Flower,4436,Ranunculaceae,Clematis,Clematis vitalba L.,Lavardac,2013-7-24
26383,79761,3.0,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,Malons-et-Elze,2010-5-23
32182,58897,3.0,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,Batz-sur-Mer,2006-6-3
28953,107992,4.0,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Puéchabon,2013-5-20
30850,17507,4.0,Flower,691,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Narbonne,2013-5-19
31480,2214,4.0,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,Espalion,2012-6-19
456,49382,3.0,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Prades-le-Lez,2007-5-15
36952,16207,5.0,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Les Mayons,2009-5-7
1769,75528,4.0,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,,1800-1-1
8897,2111,2.0,Flower,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,Champ-sur-Drac,2006-4-26
30140,70894,3.0,Flower,8534,Ranunculaceae,Aconitum,Aconitum napellus L.,Bolquère,2009-8-27
23103,21691,3.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Sancerre,2010-5-15
27969,93548,3.0,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,St Leu Les brules de St Leu,2012-11-26
12958,111335,4.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Limonest,2012-5-24
30542,44260,4.0,Flower,151,Apiaceae,Daucus,Daucus carota L.,,1800-1-1
8897,56900,3.0,Flower,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,Champ-sur-Drac,2006-4-26
732,82484,3.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,Corcoué-sur-Logne,2011-4-11
18897,38858,3.0,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,Fontpédrouse,2007-6-16
32286,21047,3.0,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,La Faute-sur-Mer,2011-10-13
11985,84211,4.0,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,Sainte-Geneviève-des-Bois,2013-7-29
36328,21823,3.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Saint-Jurs,2013-4-29
1656,111063,3.0,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,Montferrier-sur-Lez,2013-9-11
18030,101951,4.0,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,Le Port,2014-7-1
10230,12814,4.0,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,,2014-3-9
9745,1897,3.0,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,La Vendue-Mignot,2012-6-11
29520,21007,3.5,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,Montpellier,2013-5-25
17014,103237,1.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,Fillols,2013-5-18
8407,105807,3.0,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,Draveil,2010-7-15
6132,15686,4.0,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,,1800-1-1
6195,51728,3.0,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,Montpellier,2014-4-8
20635,111238,3.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,Fillols,2013-5-18
31758,72911,1.0,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,Roques,2013-6-15
3279,53398,4.0,Flower,6509,Orchidaceae,Ophrys,Ophrys passionis Sennen,Marseille,2014-3-31
2632,48241,3.0,Flower,4460,Ranunculaceae,Anemone,Anemone hepatica L.,Pralognan-la-Vanoise,2013-4-30
27694,51184,3.5,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,Flaxlanden,2011-3-11
2808,4235,5.0,Flower,151,Apiaceae,Daucus,Daucus carota L.,Perros-Guirec,2012-6-19
36886,60275,4.0,Flower,8534,Ranunculaceae,Aconitum,Aconitum napellus L.,,1800-1-1
8372,86630,3.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Prades-le-Lez,2007-5-15
25850,52113,4.0,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,11 Molleville,2013-5-26
27298,32289,3.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Gruissan,2013-5-18
35327,64958,4.0,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,Cirque de Gavarnie,2006-6-27
4942,43911,3.0,Flower,493,Asteraceae,Bellis,Bellis perennis L.,Sainte-Geneviève-des-Bois,2013-5-22
25463,89879,4.0,Flower,493,Asteraceae,Bellis,Bellis perennis L.,Kwaadmechelen,2013-4-20
14988,6205,4.0,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,Montmaur,2013-9-16
27384,74268,3.0,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,,1800-1-1
29325,35820,5.0,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,Sournia,2004-5-23
7037,15471,4.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Peyriac-de-Mer,2012-5-8
14492,25946,3.5,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,Villeneuve-lès-Maguelone,2011-3-20
18048,85777,3.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Ferrières-en-Brie,2010-6-13
7238,61829,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,,1800-1-1
13206,54772,3.0,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,Montpellier,2014-5-22
39236,27692,2.0,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,Canteleu,2011-7-5
17851,37427,3.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,Sainte-Marie-Lapanouze,2005-4-28
37702,47606,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,La Baule-Escoublac,2011-5-8
6885,24236,3.0,Flower,493,Asteraceae,Bellis,Bellis perennis L.,Fondettes,2013-4-16
10776,36561,3.0,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,Eyne,2013-6-29
38615,51172,4.0,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,Villeneuve-lès-Maguelone,2013-5-1
1916,59562,3.5,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,Hyères,2012-3-19
31494,77296,3.5,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,Villeurbanne,2011-4-2
26270,2606,3.0,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,Prades-le-Lez,2009-5-12
32446,39690,3.0,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,Suc-et-Sentenac,2009-7-29
18917,76078,3.0,Flower,151,Apiaceae,Daucus,Daucus carota L.,Tarbes,2010-6-21
19929,30454,2.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,Juvignac,2013-5-15
3011,112711,3.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Villemur-sur-Tarn,2008-4-13
8053,27282,3.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Saint-Martin-la-Garenne,2014-5-3
24436,37954,3.0,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,Saint-Martin-de-l'Arçon,2007-5-13
31048,74017,3.0,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,Sainte-Marie-Kerque,2011-5-18
19645,70438,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,Rueil-Malmaison,2011-5-18
1744,86159,3.0,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,Espagne,2009-5-2
40290,82471,3.67,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,Saint-Denis-sur-Sarthon,2013-3-26
33137,96411,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,Saint-Hilaire-de-Riez,2013-6-26
31870,42823,3.0,Flower,8534,Ranunculaceae,Aconitum,Aconitum napellus L.,Porté-Puymorens,2013-9-14
38986,17838,1.0,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,Narbonne,2014-12-20
8096,18914,3.0,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,Saint-Martin-Lestra,2012-6-25
12637,89380,4.0,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,Illkirch-Graffenstaden,2013-7-13
18171,101253,2.5,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,Saint-Michel-sur-Orge,2013-6-8
25955,84315,4.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,,1800-1-1
25459,49690,4.0,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,,1800-1-1
39994,3988,4.5,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,Montpellier,2013-5-25
29239,38454,3.5,Flower,4436,Ranunculaceae,Clematis,Clematis vitalba L.,Rouet,2012-6-9
8096,105213,4.0,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,Saint-Martin-Lestra,2012-6-25
13820,3058,3.5,Flower,151,Apiaceae,Daucus,Daucus carota L.,Athis-Mons,2012-6-23
18747,75607,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,"Sidi Aich, ALGERIE",2014-4-11
10517,50801,4.0,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,Marseille,2013-5-22
4130,32545,3.0,Flower,1047,Asteraceae,Leucanthemum,Leucanthemum vulgare Lam.,,2013-6-27
27229,100527,3.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Clermont-le-Fort,2007-4-13
19867,95343,4.0,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,Roissy-en-Brie,2004-7-24
37945,100664,2.5,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,Allevard,2009-7-12
14663,72585,3.0,Flower,6538,Orchidaceae,Anacamptis,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",Vouneuil-sous-Biard,2006-4-30
15799,69203,3.0,Flower,4477,Ranunculaceae,Anemone,Anemone alpina L.,Nohèdes,2007-6-20
8750,42815,3.0,Flower,6538,Orchidaceae,Anacamptis,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",La Couvertoirade,2010-5-13
18747,30734,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,"Sidi Aich, ALGERIE",2014-4-11
25883,17453,3.0,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,Vauxrenard,2008-10-11
23647,49059,3.0,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,Le Pont-de-Montvert,2012-5-26
1691,76559,3.0,Flower,151,Apiaceae,Daucus,Daucus carota L.,Pied-de-Borne,2007-7-21
14659,27403,4.5,Flower,30491,Violaceae,Viola,Viola tricolor L.,Mauguio,2013-4-20
10688,105101,3.0,Flower,14867,Liliaceae,Tulipa,Tulipa sylvestris L.,Saint-Jean-de-Védas,2008-3-27
26886,14972,4.0,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,Les Mayons,2014-5-5
11860,468,3.0,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,St Leu Les brules de St Leu,2012-11-26
6961,82305,3.0,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,St Leu Les brules de St Leu,2012-11-26
9539,5765,3.0,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,Les Assions,2011-6-3
36987,35954,4.0,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,Montpellier,2013-6-7
33679,63230,3.0,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,,1800-1-1
41691,58986,4.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Bussac-Forêt,2013-6-3
25471,56046,5.0,Flower,4460,Ranunculaceae,Anemone,Anemone hepatica L.,Béhorlégui,2006-3-4
32045,13660,3.0,Flower,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,Marseille,2012-4-17
29061,26448,3.0,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,Nissan-lez-Enserune,2013-5-13
7597,72553,4.0,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,Molleville,2009-6-6
