MediaId,Author,ClassId,Content,Date,Family,Genus,Latitude,Location,Longitude,ObservationId,Species,Vote
14004,pierre bonnet,661,Flower,2013-6-20,Asteraceae,Cichorium,43.59599,Montpellier,3.90111,28639,Cichorium intybus L.,3
61521,pierre bonnet,493,Flower,2011-3-20,Asteraceae,Bellis,43.65188,Palavas-les-Flots,3.86169,23116,Bellis perennis L.,3
942,remi tournebize,30162,Flower,2009-4-1,Orchidaceae,Himantoglossum,45.88207,Prémillieu,5.57618,22338,Himantoglossum hircinum (L.) Spreng.,3
83008,michel pourchet,326,Flower,2006-4-26,Aquifoliaceae,Ilex,,Champ-sur-Drac,,8897,Ilex aquifolium L.,2
106138,andrine faure,5148,Flower,2012-4-8,Salicaceae,Salix,45.46642,Chuyer,4.69919,16627,Salix caprea L.,3
26681,patricia destrade,6487,Flower,2012-6-7,Orchidaceae,Ophrys,,Saintonge,,24141,Ophrys apifera Huds.,3.5
71034,herve goeau,661,Flower,2013-8-8,Asteraceae,Cichorium,48.64801,Sainte-Geneviève-des-Bois,2.33587,36102,Cichorium intybus L.,3
101804,jame lagarrigue,30471,Flower,2013-6-5,Orchidaceae,Ophrys,43.91081,Poulx,4.42406,33206,Ophrys scolopax Cav.,3
87900,michel demares,30471,Flower,2009-5-7,Orchidaceae,Ophrys,,Les Mayons,,36952,Ophrys scolopax Cav.,3
36045,christophe girod,6425,Flower,2008-1-21,Orchidaceae,Cypripedium,,Moloy,,2447,Cypripedium calceolus L.,3
68996,jean-luc gorremans,30162,Flower,2013-6-16,Orchidaceae,Himantoglossum,48.48958,Auvers-Saint-Georges,2.23014,5957,Himantoglossum hircinum (L.) Spreng.,4
112085,Unknown690,6535,Flower,2013-4-30,Orchidaceae,Orchis,47.9435,Plombières-les-Bains,6.42117,27978,Orchis mascula (L.) L.,3
82380,george fowler,30162,Flower,2014-6-4,Orchidaceae,Himantoglossum,45.52776,Usson,3.3391,13694,Himantoglossum hircinum (L.) Spreng.,3
27069,laurent petit,691,Flower,2009-8-11,Asteraceae,Cirsium,,Mouthe,,27191,Cirsium vulgare (Savi) Ten.,4
90827,bertrand aucouturier,6487,Flower,2013-6-22,Orchidaceae,Ophrys,43.07223,Roumengoux,1.93472,41179,Ophrys apifera Huds.,4
42022,george fowler,4369,Flower,2013-6-3,Primulaceae,Primula,45.28421,Lanslebourg-Mont-Cenis,6.87262,39875,Primula veris L.,3
60869,herve goeau,4516,Flower,2013-4-1,Ranunculaceae,Ficaria,48.84187,Meyssiès,2.22709,13339,Ficaria verna Huds.,4
75865,herve goeau,4436,Flower,2013-7-24,Ranunculaceae,Clematis,44.19417,Lavardac,0.31567,26053,Clematis vitalba L.,3
49276,marie portas,4034,Flower,2012-5-2,Papaveraceae,Glaucium,,Bonnieux,,12585,Glaucium flavum Crantz,4
74723,george fowler,8708,Flower,2011-7-8,Apiaceae,Astrantia,44.86032,La Salette-Fallavaux,5.97639,23658,Astrantia major L.,4
40530,florent beck,6564,Flower,2013-5-16,Orchidaceae,Serapias,,Payros-Cazautets,,11509,Serapias vomeracea (Burm.f.) Briq.,3
101420,jean-pascal milcent,6512,Flower,2010-5-5,Orchidaceae,Ophrys,43.71677,Prades-le-Lez,3.85804,21235,Ophrys lutea Cav.,3
18036,mathieu menand,4477,Flower,2010-7-15,Ranunculaceae,Anemone,,Porté-Puymorens,,10753,Anemone alpina L.,3
2068,julien barataud,8600,Flower,2006-6-14,Orchidaceae,Anacamptis,,Plévenon,,9185,Anacamptis pyramidalis (L.) Rich.,3
24686,jacques aymar,6418,Flower,2013-3-16,Orchidaceae,Himantoglossum,42.89684,Leucate,3.02893,931,Himantoglossum robertianum (Loisel.) P.Delforge,4
4111,herve goeau,4353,Flower,2013-4-1,Primulaceae,Primula,48.84187,Meyssiès,2.22709,23179,Primula vulgaris Huds.,4
16587,dominique remaud,6434,Flower,2012-6-19,Orchidaceae,Dactylorhiza,46.85194,Mézières-en-Brenne,1.06862,16588,Dactylorhiza fuchsii (Druce) Soó,3
5599,thierry pernot,4516,Flower,1800-1-1,Ranunculaceae,Ficaria,,,,40566,Ficaria verna Huds.,3
29045,liliane roubaudi,661,Flower,2013-9-13,Asteraceae,Cichorium,,Fleury,,5105,Cichorium intybus L.,4
104982,daniel mathieu,691,Flower,2009-8-5,Asteraceae,Cirsium,,Loctudy,,6559,Cirsium vulgare (Savi) Ten.,3
67103,pierre bonnet,4369,Flower,2013-5-18,Primulaceae,Primula,,Fillols,,32731,Primula veris L.,3
52779,claude figureau,6512,Flower,2004-5-22,Orchidaceae,Ophrys,,Col du Paradis,,11488,Ophrys lutea Cav.,5
2493,genevieve botti,6509,Flower,2014-3-31,Orchidaceae,Ophrys,,Marseille,,3279,Ophrys passionis Sennen,4
103726,thierry pernot,29957,Flower,1800-1-1,Ranunculaceae,Aquilegia,,,,27306,Aquilegia vulgaris L.,3
97808,alain bigou,6437,Flower,2005-6-30,Orchidaceae,Dactylorhiza,42.98729,Laruns,-0.42606,8838,Dactylorhiza maculata (L.) Soó,4
107084,pierre bonnet,2394,Flower,2013-5-1,Cistaceae,Cistus,,Villeneuve-lès-Maguelone,,35239,Cistus albidus L.,4
73357,julien champ,967,Flower,2012-11-26,Asteraceae,Hypochaeris,-21.10527,St Leu Les brules de St Leu,55.38092,25823,Hypochaeris radicata L.,3
25097,jean-jacques houdre,30269,Flower,2013-6-23,Papaveraceae,Papaver,,Margès,,32569,Papaver rhoeas L.,3
1268,pierre bonnet,4034,Flower,2013-6-11,Papaveraceae,Glaucium,43.59748,Montpellier,3.90203,18270,Glaucium flavum Crantz,3
26461,genevieve botti,326,Flower,2012-5-12,Aquifoliaceae,Ilex,,Mazaugues,,36150,Ilex aquifolium L.,3
78387,alain bigou,8600,Flower,2006-5-25,Orchidaceae,Anacamptis,44.57993,Saint-Martin-de-Vers,1.56759,15856,Anacamptis pyramidalis (L.) Rich.,4
21790,pierre germaine,2394,Flower,2014-4-27,Cistaceae,Cistus,,,,5202,Cistus albidus L.,3
23682,julien barbe,1286,Flower,2013-5-21,Asteraceae,Urospermum,43.65181,Montferrier-sur-Lez,3.86187,4818,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,4
105245,bernard ginesy,6487,Flower,2011-5-14,Orchidaceae,Ophrys,43.22488,Marseille,5.44209,9179,Ophrys apifera Huds.,3
14374,alexis joly,493,Flower,2013-4-12,Asteraceae,Bellis,43.60983,,3.78683,4750,Bellis perennis L.,4
48161,bertrand bui,6521,Flower,2013-4-9,Orchidaceae,Ophrys,43.39967,Septèmes-les-Vallons,5.34849,29573,Ophrys aranifera Huds.,5
83238,liliane roubaudi,691,Flower,2012-6-2,Asteraceae,Cirsium,,Gruissan,,38079,Cirsium vulgare (Savi) Ten.,4
66808,genevieve botti,6448,Flower,2012-7-6,Orchidaceae,Epipactis,,Passy,,39393,Epipactis atrorubens (Hoffm.) Besser,3
30306,bernard andrieu,4034,Flower,2013-6-15,Papaveraceae,Glaucium,43.66739,La Tour-sur-Orb,3.13989,25233,Glaucium flavum Crantz,3
102346,jerome carminati,8527,Flower,2011-8-26,Asteraceae,Achillea,47.24598,Besançon,5.98713,21835,Achillea millefolium L.,3
93923,genevieve botti,1286,Flower,2012-6-8,Asteraceae,Urospermum,,Marseille,,34785,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,4
19282,herve goeau,967,Flower,2012-11-26,Asteraceae,Hypochaeris,-21.10527,St Leu Les brules de St Leu,55.38092,6961,Hypochaeris radicata L.,3
69742,paul fabre,1286,Flower,2011-5-1,Asteraceae,Urospermum,44.43021,Les Assions,4.15998,1657,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,3
9035,bertrand aucouturier,6415,Flower,2013-5-20,Orchidaceae,Orchis,43.02468,Camon,1.97318,27266,Orchis anthropophora (L.) All.,3
94063,herve goeau,786,Flower,2013-7-22,Asteraceae,Eupatorium,44.45433,Marmande,0.149,22038,Eupatorium cannabinum L.,4
59373,liliane roubaudi,691,Flower,2012-6-2,Asteraceae,Cirsium,,Gruissan,,38079,Cirsium vulgare (Savi) Ten.,4
62781,julien champ,1286,Flower,2013-5-16,Asteraceae,Urospermum,,Montpellier,,19239,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,3
97010,pierre bonnet,4026,Flower,2014-4-8,Papaveraceae,Chelidonium,43.59607,Montpellier,3.89976,38674,Chelidonium majus L.,3
28638,patricia destrade,9930,Flower,2011-6-12,Orchidaceae,Epipactis,,Nantes,,38165,Epipactis helleborine (L.) Crantz,3
45286,jean-claude calais,6434,Flower,2013-6-6,Orchidaceae,Dactylorhiza,44.27143,Saint-Laurent-de-Trèves,3.60856,33322,Dactylorhiza fuchsii (Druce) Soó,4
8541,bertrand bui,6509,Flower,2012-4-18,Orchidaceae,Ophrys,43.39967,Les Pennes-Mirabeau,5.34849,30703,Ophrys passionis Sennen,3
40498,christophe girod,6418,Flower,2003-3-12,Orchidaceae,Himantoglossum,,"Site  (Mont St Clair, les Pierres Blanches) (34)",,19107,Himantoglossum robertianum (Loisel.) P.Delforge,3
109279,sebastien ramsay,6425,Flower,2010-6-3,Orchidaceae,Cypripedium,44.38758,Bellaffaire,6.20934,31638,Cypripedium calceolus L.,3
48462,cedric beauval,6547,Flower,2013-5-9,Orchidaceae,Orchis,42.82881,Quirbajou,2.17915,5480,Orchis purpurea Huds.,4
83875,thierry pernot,30269,Flower,1800-1-1,Papaveraceae,Papaver,,,,25955,Papaver rhoeas L.,4
111198,liliane roubaudi,786,Flower,2014-10-16,Asteraceae,Eupatorium,,Villequier,,40584,Eupatorium cannabinum L.,4
74091,thierry pernot,32201,Flower,1800-1-1,Orchidaceae,Ophrys,,,,41109,Ophrys virescens Philippe,3
14312,thierry pernot,1047,Flower,1800-1-1,Asteraceae,Leucanthemum,,,,38294,Leucanthemum vulgare Lam.,4
95331,pierre bonnet,661,Flower,2013-6-20,Asteraceae,Cichorium,43.59599,Montpellier,3.90111,19983,Cichorium intybus L.,3
32516,genevieve botti,4034,Flower,2011-9-17,Papaveraceae,Glaucium,,Marseille,,22123,Glaucium flavum Crantz,3
109599,herve goeau,326,Flower,2013-5-11,Aquifoliaceae,Ilex,48.8567,Lacanau,2.24104,32770,Ilex aquifolium L.,2
60747,paul fabre,6564,Flower,2010-5-24,Orchidaceae,Serapias,44.38669,Berrias-et-Casteljau,4.20255,17234,Serapias vomeracea (Burm.f.) Briq.,3
20431,francoise peyrissat,30162,Flower,2007-5-27,Orchidaceae,Himantoglossum,45.8698,Riom,3.10563,40431,Himantoglossum hircinum (L.) Spreng.,4
40729,pierre-luc bardet,6437,Flower,2011-7-27,Orchidaceae,Dactylorhiza,42.88118,Barèges,0.13081,21938,Dactylorhiza maculata (L.) Soó,3.5
54631,pierre bonnet,661,Flower,2013-6-22,Asteraceae,Cichorium,43.598,Montpellier,3.90067,38681,Cichorium intybus L.,3
23562,malicia besnard,6521,Flower,2011-4-20,Orchidaceae,Ophrys,,Clapiers,,12243,Ophrys aranifera Huds.,3
84213,gregoire duche,29957,Flower,2012-5-26,Ranunculaceae,Aquilegia,44.3638,Le Pont-de-Montvert,3.73641,23647,Aquilegia vulgaris L.,2.5
9876,julien champ,30269,Flower,2013-5-24,Papaveraceae,Papaver,,Montpellier,,4967,Papaver rhoeas L.,2
94029,jean-jacques houdre,30162,Flower,2009-5-20,Orchidaceae,Himantoglossum,,Tonnerre,,6337,Himantoglossum hircinum (L.) Spreng.,3
112714,joffrey chambole,8600,Flower,2013-6-22,Orchidaceae,Anacamptis,44.29128,La Malène,3.29017,38284,Anacamptis pyramidalis (L.) Rich.,3
22207,thierry pernot,4436,Flower,1800-1-1,Ranunculaceae,Clematis,,,,109,Clematis vitalba L.,4
16225,pierre bonnet,4034,Flower,2013-6-3,Papaveraceae,Glaucium,,,,41776,Glaucium flavum Crantz,2.5
18890,fabienne paire,661,Flower,2014-10-3,Asteraceae,Cichorium,45.75334,Optevoz,5.33037,38488,Cichorium intybus L.,3
12800,thierry pernot,30162,Flower,1800-1-1,Orchidaceae,Himantoglossum,,,,20413,Himantoglossum hircinum (L.) Spreng.,3
94702,mathieu sinet,29957,Flower,1800-1-1,Ranunculaceae,Aquilegia,43.69357,Vabre,2.42935,464,Aquilegia vulgaris L.,4
28466,emmanuel stratmains,661,Flower,2012-7-16,Asteraceae,Cichorium,48.00949,Brains-sur-Gée,-0.02399,31591,Cichorium intybus L.,3.67
8585,herve goeau,4436,Flower,2013-7-24,Ranunculaceae,Clematis,44.19417,Lavardac,0.31567,26053,Clematis vitalba L.,4
79761,paul fabre,6437,Flower,2010-5-23,Orchidaceae,Dactylorhiza,44.43114,Malons-et-Elze,3.98842,26383,Dactylorhiza maculata (L.) Soó,3
58897,mathieu menand,8527,Flower,2006-6-3,Asteraceae,Achillea,,Batz-sur-Mer,,32182,Achillea millefolium L.,3
107992,daniel barthelemy,1286,Flower,2013-5-20,Asteraceae,Urospermum,43.71483,Puéchabon,3.6145,28953,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,4
17507,liliane roubaudi,691,Flower,2013-5-19,Asteraceae,Cirsium,,Narbonne,,30850,Cirsium vulgare (Savi) Ten.,4
2214,marie portas,6434,Flower,2012-6-19,Orchidaceae,Dactylorhiza,,Espalion,,31480,Dactylorhiza fuchsii (Druce) Soó,4
49382,daniel mathieu,30471,Flower,2007-5-15,Orchidaceae,Ophrys,,Prades-le-Lez,,456,Ophrys scolopax Cav.,3
16207,michel demares,30471,Flower,2009-5-7,Orchidaceae,Ophrys,,Les Mayons,,36952,Ophrys scolopax Cav.,5
75528,thierry pernot,30471,Flower,1800-1-1,Orchidaceae,Ophrys,,,,1769,Ophrys scolopax Cav.,4
2111,michel pourchet,326,Flower,2006-4-26,Aquifoliaceae,Ilex,,Champ-sur-Drac,,8897,Ilex aquifolium L.,2
70894,mathieu menand,8534,Flower,2009-8-27,Ranunculaceae,Aconitum,,Bolquère,,30140,Aconitum napellus L.,3
21691,jean-luc gorremans,6547,Flower,2010-5-15,Orchidaceae,Orchis,47.3295,Sancerre,2.80093,23103,Orchis purpurea Huds.,3
93548,samuel dufour-kowalski,967,Flower,2012-11-26,Asteraceae,Hypochaeris,-21.10527,St Leu Les brules de St Leu,55.38092,27969,Hypochaeris radicata L.,3
111335,andre merle,6547,Flower,2012-5-24,Orchidaceae,Orchis,,Limonest,,12958,Orchis purpurea Huds.,4
44260,thierry pernot,151,Flower,1800-1-1,Apiaceae,Daucus,,,,30542,Daucus carota L.,4
56900,michel pourchet,326,Flower,2006-4-26,Aquifoliaceae,Ilex,,Champ-sur-Drac,,8897,Ilex aquifolium L.,3
82484,bertrand chiffoleau,6535,Flower,2011-4-11,Orchidaceae,Orchis,46.93894,Corcoué-sur-Logne,-1.53405,732,Orchis mascula (L.) L.,3
38858,julien barataud,6434,Flower,2007-6-16,Orchidaceae,Dactylorhiza,,Fontpédrouse,,18897,Dactylorhiza fuchsii (Druce) Soó,3
21047,jean-jacques houdre,565,Flower,2011-10-13,Asteraceae,Centaurea,46.30352,La Faute-sur-Mer,-1.2944,32286,Centaurea aspera L.,3
84211,herve goeau,967,Flower,2013-7-29,Asteraceae,Hypochaeris,48.64647,Sainte-Geneviève-des-Bois,2.3178,11985,Hypochaeris radicata L.,4
21823,emmanuel stratmains,6547,Flower,2013-4-29,Orchidaceae,Orchis,43.89829,Saint-Jurs,6.19701,36328,Orchis purpurea Huds.,3
111063,julien barbe,565,Flower,2013-9-11,Asteraceae,Centaurea,43.65194,Montferrier-sur-Lez,3.86171,1656,Centaurea aspera L.,3
101951,alain bigou,6434,Flower,2014-7-1,Orchidaceae,Dactylorhiza,42.80845,Le Port,1.37534,18030,Dactylorhiza fuchsii (Druce) Soó,4
12814,herve goeau,4516,Flower,2014-3-9,Ranunculaceae,Ficaria,49.3219,,0.01041,10230,Ficaria verna Huds.,4
1897,thierry senechal-chevallier,6437,Flower,2012-6-11,Orchidaceae,Dactylorhiza,48.14451,La Vendue-Mignot,4.11368,9745,Dactylorhiza maculata (L.) Soó,3
21007,julien champ,1286,Flower,2013-5-25,Asteraceae,Urospermum,,Montpellier,,29520,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,3.5
103237,pierre bonnet,6535,Flower,2013-5-18,Orchidaceae,Orchis,,Fillols,,17014,Orchis mascula (L.) L.,1
105807,jean-luc gorremans,9930,Flower,2010-7-15,Orchidaceae,Epipactis,48.6794,Draveil,2.44592,8407,Epipactis helleborine (L.) Crantz,3
15686,thierry pernot,6564,Flower,1800-1-1,Orchidaceae,Serapias,,,,6132,Serapias vomeracea (Burm.f.) Briq.,4
51728,pierre bonnet,4026,Flower,2014-4-8,Papaveraceae,Chelidonium,43.59607,Montpellier,3.89976,6195,Chelidonium majus L.,3
111238,pierre bonnet,6535,Flower,2013-5-18,Orchidaceae,Orchis,,Fillols,,20635,Orchis mascula (L.) L.,3
72911,florent beck,6564,Flower,2013-6-15,Orchidaceae,Serapias,43.51028,Roques,1.37722,31758,Serapias vomeracea (Burm.f.) Briq.,1
53398,genevieve botti,6509,Flower,2014-3-31,Orchidaceae,Ophrys,,Marseille,,3279,Ophrys passionis Sennen,4
48241,Unknown495,4460,Flower,2013-4-30,Ranunculaceae,Anemone,45.37517,Pralognan-la-Vanoise,6.71767,2632,Anemone hepatica L.,3
51184,pierre walther,4411,Flower,2011-3-11,Ranunculaceae,Anemone,,Flaxlanden,,27694,Anemone nemorosa L.,3.5
4235,liliane roubaudi,151,Flower,2012-6-19,Apiaceae,Daucus,,Perros-Guirec,,2808,Daucus carota L.,5
60275,thierry pernot,8534,Flower,1800-1-1,Ranunculaceae,Aconitum,,,,36886,Aconitum napellus L.,4
86630,daniel mathieu,6487,Flower,2007-5-15,Orchidaceae,Ophrys,,Prades-le-Lez,,8372,Ophrys apifera Huds.,3
52113,ans gorter,30471,Flower,2013-5-26,Orchidaceae,Ophrys,,11 Molleville,,25850,Ophrys scolopax Cav.,4
32289,liliane roubaudi,6487,Flower,2013-5-18,Orchidaceae,Ophrys,,Gruissan,,27298,Ophrys apifera Huds.,3
64958,claude figureau,29957,Flower,2006-6-27,Ranunculaceae,Aquilegia,,Cirque de Gavarnie,,35327,Aquilegia vulgaris L.,4
43911,herve goeau,493,Flower,2013-5-22,Asteraceae,Bellis,48.64676,Sainte-Geneviève-des-Bois,2.31022,4942,Bellis perennis L.,3
89879,Unknown512,493,Flower,2013-4-20,Asteraceae,Bellis,51.10383,Kwaadmechelen,5.15967,25463,Bellis perennis L.,4
6205,jean-pascal milcent,8527,Flower,2013-9-16,Asteraceae,Achillea,44.6016,Montmaur,5.90351,14988,Achillea millefolium L.,4
74268,thierry pernot,4411,Flower,1800-1-1,Ranunculaceae,Anemone,,,,27384,Anemone nemorosa L.,3
35820,claude figureau,576,Flower,2004-5-23,Asteraceae,Cyanus,,Sournia,,29325,Cyanus segetum Hill,5
15471,liliane roubaudi,6547,Flower,2012-5-8,Orchidaceae,Orchis,,Peyriac-de-Mer,,7037,Orchis purpurea Huds.,4
25946,pierre bonnet,6418,Flower,2011-3-20,Orchidaceae,Himantoglossum,,Villeneuve-lès-Maguelone,,14492,Himantoglossum robertianum (Loisel.) P.Delforge,3.5
85777,annick larbouillat,6487,Flower,2010-6-13,Orchidaceae,Ophrys,48.82639,Ferrières-en-Brie,2.70538,18048,Ophrys apifera Huds.,3
61829,pablo behague,6415,Flower,1800-1-1,Orchidaceae,Orchis,,,,7238,Orchis anthropophora (L.) All.,3
54772,pierre bonnet,4026,Flower,2014-5-22,Papaveraceae,Chelidonium,43.59676,Montpellier,3.90063,13206,Chelidonium majus L.,3
27692,philippe burnel,9930,Flower,2011-7-5,Orchidaceae,Epipactis,49.46091,Canteleu,1.04279,39236,Epipactis helleborine (L.) Crantz,2
37427,julien barataud,6535,Flower,2005-4-28,Orchidaceae,Orchis,,Sainte-Marie-Lapanouze,,17851,Orchis mascula (L.) L.,3
47606,patricia destrade,6415,Flower,2011-5-8,Orchidaceae,Orchis,,La Baule-Escoublac,,37702,Orchis anthropophora (L.) All.,3
24236,Unknown129,493,Flower,2013-4-16,Asteraceae,Bellis,47.42267,Fondettes,0.5785,6885,Bellis perennis L.,3
36561,paul fabre,8708,Flower,2013-6-29,Apiaceae,Astrantia,42.46848,Eyne,2.08325,10776,Astrantia major L.,3
51172,pierre bonnet,2394,Flower,2013-5-1,Cistaceae,Cistus,,Villeneuve-lès-Maguelone,,38615,Cistus albidus L.,4
59562,marie portas,6418,Flower,2012-3-19,Orchidaceae,Himantoglossum,,Hyères,,1916,Himantoglossum robertianum (Loisel.) P.Delforge,3.5
77296,andre morin,6418,Flower,2011-4-2,Orchidaceae,Himantoglossum,45.77152,Villeurbanne,4.87311,31494,Himantoglossum robertianum (Loisel.) P.Delforge,3.5
2606,daniel mathieu,2430,Flower,2009-5-12,Cistaceae,Helianthemum,,Prades-le-Lez,,26270,Helianthemum nummularium (L.) Mill.,3
39690,Unknown108,6448,Flower,2009-7-29,Orchidaceae,Epipactis,42.78238,Suc-et-Sentenac,1.49456,32446,Epipactis atrorubens (Hoffm.) Besser,3
76078,mathieu menand,151,Flower,2010-6-21,Apiaceae,Daucus,,Tarbes,,18917,Daucus carota L.,3
30454,martine benezech,30269,Flower,2013-5-15,Papaveraceae,Papaver,43.62849,Juvignac,3.79782,19929,Papaver rhoeas L.,2
112711,mathieu menand,6547,Flower,2008-4-13,Orchidaceae,Orchis,,Villemur-sur-Tarn,,3011,Orchis purpurea Huds.,3
27282,dominique remaud,6547,Flower,2014-5-3,Orchidaceae,Orchis,49.04083,Saint-Martin-la-Garenne,1.69055,8053,Orchis purpurea Huds.,3
37954,daniel mathieu,2394,Flower,2007-5-13,Cistaceae,Cistus,,Saint-Martin-de-l'Arçon,,24436,Cistus albidus L.,3
74017,antoine masseau,29957,Flower,2011-5-18,Ranunculaceae,Aquilegia,50.89737,Sainte-Marie-Kerque,2.13769,31048,Aquilegia vulgaris L.,3
70438,michel lopez,30162,Flower,2011-5-18,Orchidaceae,Himantoglossum,48.86833,Rueil-Malmaison,2.19308,19645,Himantoglossum hircinum (L.) Spreng.,3
86159,mathieu menand,576,Flower,2009-5-2,Asteraceae,Cyanus,,Espagne,,1744,Cyanus segetum Hill,3
82471,remi jardin,4411,Flower,2013-3-26,Ranunculaceae,Anemone,,Saint-Denis-sur-Sarthon,,40290,Anemone nemorosa L.,3.67
96411,patricia destrade,6415,Flower,2013-6-26,Orchidaceae,Orchis,,Saint-Hilaire-de-Riez,,33137,Orchis anthropophora (L.) All.,3
